drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
Aricept,['Aricept; Aricept ODT'],['5 mg'],5.0,34,100,Rx,C,N,,"['a heart rhythm disorde', 'a history of stomach ulcers', 'an enlarged prostate or urination problems', 'liver or kidney disease', 'epilepsy or other seizure disorde', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (COPD), or other breathing disorde']",Alzheimer's
donepezil,['Aricept ; Aricept ODT'],['5 mg'],5.0,77,100,Rx,C,N,,"['a heart rhythm disorder such as ""sick sinus syndrome"" (slow heartbeats)', 'an enlarged prostate', 'urination problems', 'a seizure disorder such as epilepsy', 'a history of stomach ulcers', 'liver or kidney disease', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (COPD), or another breathing disorde', 'are pregnant or intending to become pregnant', 'are breastfeeding']",Alzheimer's
memantine,['Namenda'],['10 mg'],5.0,64,100,Rx,B,N,,[None],Alzheimer's
Namenda,['Namenda; Namenda XR'],['5 mg'],5.2,26,100,Rx,B,N,,"['have or have had seizures or epilepsy', 'have liver disease', 'have kidney disease', 'have problems passing urine', 'have a bladder or kidney infection', 'are pregnant or plan to become pregnant', 'are breastfeeding or plan to breastfeed']",Alzheimer's
Leqembi,[None],['200 mg'],,,31,Rx,,N,,[None],Alzheimer's
lecanemab,['Leqembi'],['200 mg'],,,30,Rx,,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Dosage information', 'During pregnancy', 'Drug class: miscellaneous central nervous system agents', 'En español']",Alzheimer's
Exelon,[None],['3 mg'],6.7,12,24,Rx,B,N,,"['an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma,chronic obstructive pulmonary disease(COPD), or other breathing disorde']",Alzheimer's
galantamine,['Reminyl ; Razadyne ; Razadyne ER'],['8 mg'],7.6,15,19,Rx,C,N,,"['urination problems', 'heart diseaseor a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizures or epilepsy', 'kidney disease', 'liver disease', 'a history of asthma or chronic obstructive pulmonary disease (COPD)']",Alzheimer's
Namenda XR,['Namenda ; Namenda XR'],['28 mg'],3.3,4,17,Rx,B,N,,"['epilepsyor other seizure disorde', 'liver disease', 'kidney disease', 'urination problems', 'a bladder or kidneyinfection']",Alzheimer's
rivastigmine,['Exelon'],['6 mg'],6.0,30,17,Rx,B,N,,"['an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma, chronic obstructive pulmonary disease (COPD), or other breathing disorde']",Alzheimer's
Aricept ODT,['Aricept ; Aricept ODT'],['5 mg'],5.0,2,10,Rx,C,N,,"['heart problems including fast, slow or uneven heart rate', 'astomach ulceror bleeding', 'urination problems', 'a planned surgery or procedure', 'asthma, chronic obstructive pulmonary disease (COPD),sleep apnea, or other breathing disorde', 'seizure orepilepsy', 'trouble swallowing tablets', 'liver or kidney disease']",Alzheimer's
Namzaric,[None],['10 mg'],8.8,6,10,Rx,C,N,,"['asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history of seizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease']",Alzheimer's
donepezil / memantine,['Namzaric ; Namzaric Titration Pack'],[None],7.7,7,9,Rx,C,N,,"['asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history ofseizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease']",Alzheimer's
vitamin e,['Aqua-E; Aqua-E Concentrate; Aquasol E ; Aquavite-E; Aqueous Vitamin E;'],[None],,,8,Rx/OTC,C,N,,"['bleeding problems', 'an eye disorder calledretinitis pigmentosa', 'avitamin K deficiency', 'diabetes', 'osteoporosis or low bone mineral density', 'heart disease', 'cance', 'a stroke', 'kidney disease']",Alzheimer's
Razadyne,['Razadyne; Razadyne ER'],['12 mg'],,,6,Rx,C,N,,"['urination problems', 'heart disease or a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizuresorepilepsy', 'kidney disease', 'liver disease', 'a history ofasthmaorchronic obstructive pulmonary disease(COPD)']",Alzheimer's
Razadyne ER,['Razadyne ; Razadyne ER; Razadyne IR'],['16 mg'],10,2,6,Rx,C,N,,[None],Alzheimer's
Adlarity,[None],['5 mg'],,,5,Rx,C,N,,[None],Alzheimer's
etanercept,['Enbrel'],['50 mg'],,,3,Rx,B,N,,"['a weak immune system, HIV or AIDS, tuberculosis, or any type of recurring infection', 'symptoms of an active infection such as fever, flu symptoms, diarrhea, or painful urination', 'an open cut or skin sores', 'diabetes', 'congestive heart failure', 'a history of nerve disorders such as multiple sclerosis, Guillain-Barré syndrome, myelitis, or optic neuritis', 'epilepsy or other seizure disorde', 'asthma or other breathing disorde', 'if you have ever had hepatitis B', 'if you are allergic to latex rubbe', 'if you are scheduled to receive any vaccines, or if you have recently been vaccinated with BCG (Bacille Calmette-Guerin)']",Alzheimer's
Alpha E,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,2,Rx/OTC,C,N,,[None],Alzheimer's
ergoloid mesylates,['Hydergine ; Hydergine LC'],['1 mg'],,,2,Rx,N,N,,['a history of mental illness or psychosis'],Alzheimer's
Hydergine,[None],[None],,,2,Rx,N,N,,['a history of mental illness or psychosis'],Alzheimer's
aducanumab,['Aduhelm'],['170 mg'],,,1,Rx,,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Dosage information', 'During pregnancy', 'Drug class: miscellaneous central nervous system agents', 'Breastfeeding', 'En español']",Alzheimer's
Aqua Gem-E,['Alpha-E; Aqua Gem-E; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
Aquasol E,['Alpha-E; Aqua Gem-E ; Aquasol E; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-400 Clear,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-600,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E-Gems,['Alpha-E; Aqua Gem-E ; Aquasol E ; D-Alpha Gems; E-400;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
E Pherol,['Alph-E; Alph-E-Mixed; Alph-E-Mixed 1000; E-400; E-400-Clear;'],[None],,,1,Rx/OTC,C,N,,[None],Alzheimer's
donanemab,['Kisunla'],['350 mg'],,,0,Rx,,N,,[None],Alzheimer's
Kisunla,[None],['350 mg'],,,0,Rx,,N,,[None],Alzheimer's
Zunveyl,[None],[None],,,0,Rx,,U,,[None],Alzheimer's
Adderall,['Adderall; Adderall XR ; Mydayis'],['30 mg'],7.2,405,95,Rx,C,2,X,"['glaucoma', 'overactive thyroid', 'severe anxiety or agitation (stimulant medicine can make these symptoms worse)', 'high blood pressure', 'heart disease or coronary artery disease', 'vascular disease or hardening of the arteries', 'a history of drug or alcohol addiction']",ADHD
Vyvanse,[None],['30 mg'],7.3,826,77,Rx,C,2,X,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history of heart disease or sudden death']",ADHD
Strattera,[None],['40 mg'],5.3,521,58,Rx,C,N,,"['severe heart or blood vessel problems', 'narrow-angle glaucoma', 'pheochromocytoma(tumor of the adrenal gland)']",ADHD
Adderall XR,['Adderall ; Adderall XR; Mydayis'],['30 mg'],7.9,214,52,Rx,C,2,X,"['an allergy to any stimulant medicine', 'high blood pressure, heart disease, coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
Concerta,[None],['36 mg'],6.8,400,40,Rx,C,2,X,"['glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)']",ADHD
methylphenidate,['Adhansia XR ; Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ;'],['36 mg'],7.0,895,35,Rx,C,2,X,"['glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)']",ADHD
amphetamine / dextroamphetamine,['Adderall ; Adderall XR ; Mydayis ; Dextroamphetamine-Amphetamine ER (Eqv-Mydayis); Dextroamphetamine-Amphetamine ER (Eqv-Adderall XR)'],['30 mg'],6.7,977,25,Rx,C,2,X,"['an allergy to any stimulant medicine', 'high blood pressure, heart disease, coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
Dexedrine,['Dexedrine Spansule; ProCentra ; Xelstrym ; Zenzedi'],['5 mg'],8.6,99,25,Rx,C,2,X,"['moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
Ritalin,['Ritalin tablets; Ritalin LA capsules'],['10 mg'],6.9,177,23,Rx,C,2,X,"['glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) or Tourette's syndrome"", 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)']",ADHD
dextroamphetamine,['Dexedrine Spansule; ProCentra ; Xelstrym ; Zenzedi ; Dexedrine ; Dextrostat ; Liquadd'],['10 mg'],8.3,220,19,Rx,C,2,X,"['moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
bupropion,['Wellbutrin ; Wellbutrin SR ; Wellbutrin XL ; Zyban ; Aplenzin ; Budeprion XL ; Forfivo XL Drug classes: Miscellaneous antidepressants ; Smoking cessation agents'],['150 mg'],6.4,144,16,Rx,C,N,X,"['a seizure disorde', 'an eating disorder such as anorexia or bulimia', 'if you have suddenly stopped using alcohol, seizure medication, or a sedative (such as Xanax, Valium, Fiorinal, Klonopin, and others)']",ADHD
clonidine,['Catapres ; Kapvay ; Onyda XR'],['1 mg'],7.6,64,16,Rx,C,N,X,"['heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a Catapres TTS transdermal skin patch']",ADHD
Desoxyn,['Desoxyn; Desoxyn Drug classes: Anorexiants ; CNS stimulants'],['5 mg'],9.4,42,15,Rx,C,2,X,"['moderate to severehigh blood pressure', 'heart diseaseorcoronary artery disease(hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
guanfacine,['Intuniv ; Tenex'],['1 mg'],5.9,274,14,Rx,B,N,X,"['heart problems,coronary artery disease(clogged arteries)', 'a heart rhythm disorde', 'aheart attackor stroke', 'high or low blood pressure', 'liver disease', 'kidney disease']",ADHD
Intuniv,[None],['1 mg'],6.4,162,13,Rx,B,N,X,"['heart problems,coronary artery disease(clogged arteries)', 'a heart rhythm disorde', 'aheart attackor stroke', 'high orlow blood pressure', 'liver disease', 'kidney disease']",ADHD
atomoxetine,['Strattera'],['40 mg'],5.2,615,11,Rx,C,N,,"['severe heart or blood vessel problems', 'narrow-angle glaucoma', 'pheochromocytoma(tumor of the adrenal gland)']",ADHD
lisdexamfetamine,['Vyvanse'],['40 mg'],7.3,870,11,Rx,C,2,X,[None],ADHD
Focalin,['Focalin; Focalin XR'],['10 mg'],5.7,137,10,Rx,C,2,,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history of heart disease or sudden death']",ADHD
Daytrana,['Daytrana'],[None],8.3,74,9,Rx,C,2,X,"['glaucoma', 'tics (muscle twitches)', ""a personal or family history ofTourette's syndrome"", 'severeanxiety, tension, oragitation', 'if you have ever had a skin reaction to a Daytrana skin patch']",ADHD
Focalin XR,['Focalin ; Focalin XR'],['20 mg'],6.8,110,8,Rx,C,2,,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history ofheart diseaseor sudden death']",ADHD
amphetamine,['Adzenys ER ; Adzenys XR-ODT ; Dyanavel XR ; Evekeo ; Evekeo ODT ; Amphetamine Sulfate'],['10 mg'],6.4,134,7,Rx,C,2,X,"['chest pain or breathing problems caused by heart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",ADHD
Ritalin LA,['Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ; Methylin ;'],['30 mg'],8.1,18,7,Rx,C,2,X,"['glaucoma', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an MAO inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine']",ADHD
amantadine,['Gocovri ; Osmolex ER ; Symmetrel Drug classes: Adamantane antivirals ; Dopaminergic antiparkinsonism agents'],['100 mg'],7.2,10,6,Rx,C,N,,"['you have severe kidney disease', 'you received a ""live"" nasal flu vaccine (FluMist) within the past 14 days']",ADHD
dexmethylphenidate,['Focalin ; Focalin XR'],['20 mg'],6.2,286,6,Rx,C,2,,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history ofheart diseaseor sudden death']",ADHD
Kapvay,[None],['1 mg'],7.4,18,6,Rx,C,N,X,"['heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a clonidine transdermal skin patch (Catapres TTS)']",ADHD
methamphetamine,['Desoxyn ; Desoxyn Gradumet Drug classes: Anorexiants ; CNS stimulants'],['5 mg'],8.9,63,6,Rx,C,2,X,"['moderate to severe high blood pressure', 'heart disease or coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
Methylin,['Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ; Methylin;'],['20 mg'],8.2,14,6,Rx,C,2,X,"['glaucoma', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an MAO inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine']",ADHD
modafinil,['Provigil'],['200 mg'],7.6,50,5,Rx,C,4,,"['angina (chest pain)', 'cirrhosis or other liver problem', 'kidney disease', 'high blood pressure,heart disease, or history ofheart attack', 'a history of mental illness or psychosis', 'history ofalcoholismordrug addiction']",ADHD
Quillivant XR,[None],[None],5.6,23,5,Rx,C,2,X,"['glaucoma', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)']",ADHD
Jornay PM,[None],['60 mg'],9.5,15,4,Rx,C,2,X,[None],ADHD
Metadate CD,[None],['10 mg'],7.1,41,4,Rx,C,2,X,[None],ADHD
Methylin ER,['Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ; Metadate ER ;'],['10 mg'],8.5,8,4,Rx,C,2,X,[None],ADHD
ProCentra,['Dexedrine Spansule; ProCentra; Xelstrym ; Zenzedi'],[None],9.5,2,4,Rx,C,2,X,"['moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
selegiline,['Zelapar'],['5 mg'],10,3,4,Rx,C,N,X,"['cough medicine that containsdextromethorphan', 'cyclobenzaprine(Flexeril)', 'meperidine (Demerol) or other narcotic (opioid) pain medicine', 'methadone', ""St John's wort"", 'tramadol (Ultram, Ultracet)', 'an antidepressant--citalopram,desvenlafaxine, duloxetine,escitalopram, fluvoxamine,levomilnacipran, milnacipran, mirtazapine, nefazodone, paroxetine, venlafaxine, vilazodone,vortioxetine, and others', 'an MAO inhibitor--isocarboxazid, linezolid,methylene blueinjection, phenelzine, rasagiline, selegiline,tranylcypromine, and others']",ADHD
Zenzedi,['Dexedrine Spansule; ProCentra ; Xelstrym ; Zenzedi'],['20 mg'],8.2,31,4,Rx,C,2,X,"['moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
armodafinil,['Nuvigil'],['200 mg'],8.2,25,3,Rx,C,4,,"['liver or kidney disease', 'a heart muscle or valve disorder such asmitral valve prolapse', 'high blood pressure,heart disease, or priorheart attack', 'mental illness orpsychosis', 'drug or alcohol addiction']",ADHD
Azstarys,[None],['8 mg'],7.3,37,3,Rx,,2,,[None],ADHD
desvenlafaxine,['Pristiq ; Khedezla'],['50 mg'],7.1,9,3,Rx,C,N,X,"['heart disease,high blood pressure,high cholesterol, or a stroke', 'bipolar disorder(manic depression)', 'depression, suicidal thoughts', 'liver or kidney disease', 'glaucoma', 'seizures or epilepsy', 'sexual problems', 'lung or breathing problems', 'a bleeding or blood clotting disorde', 'low levels of sodium in your blood']",ADHD
omega-3 polyunsaturated fatty acids,['Animi-3 with Vitamin D ; BP Vit 3; Cardio Omega Benefits ; Dry Eye Omega Benefits ; EPA Fish Oil ;'],[None],8.2,9,3,Rx/OTC,C,N,,"['diabetes', 'bleeding problems, anemia (low red blood cells)', 'a heart rhythm disorde', 'a pancreas disorde', 'underactive thyroid', 'liver disease']",ADHD
Onyda XR,[None],[None],,,3,Rx,C,N,X,"['heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a Catapres TTS transdermal skin patch']",ADHD
Adzenys XR-ODT,['Adzenys XR-ODT; Amphetamine Sulfate; Dyanavel XR ; Evekeo ; Evekeo ODT'],['8 mg'],6.1,63,2,Rx,C,2,X,"['chest pain or breathing problems caused byheart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",ADHD
Aptensio XR,['Aptensio XR; Concerta ; Cotempla XR-ODT ; Jornay PM ; Methylin ;'],['40 mg'],6.8,11,2,Rx,C,2,X,"['glaucoma', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an MAO inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine']",ADHD
Cotempla XR-ODT,[None],['3 mg'],6.5,8,2,Rx,C,2,X,[None],ADHD
desipramine,['Norpramin'],['150 mg'],8.0,2,2,Rx,N,N,X,['if you have recently had a heart attack'],ADHD
Evekeo,['Adzenys XR-ODT ; Amphetamine Sulfate; Dyanavel XR ; Evekeo; Evekeo ODT'],['10 mg'],6.9,34,2,Rx,C,2,X,"['chest pain or breathing problems caused byheart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",ADHD
Mydayis,[None],['50 mg'],5.7,140,2,Rx,C,2,X,[None],ADHD
Qelbree,[None],['200 mg'],5.0,41,2,Rx,,N,,"['alosetron', 'duloxetine', 'ramelteon', 'tasimelteon', 'tizanidine', 'theophylline']",ADHD
QuilliChew ER,[None],['20 mg'],6.0,2,2,Rx,C,2,X,[None],ADHD
Relexxii,['Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ; Methylin ;'],['36 mg'],,,2,Rx,C,2,X,"['glaucoma', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an MAO inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine']",ADHD
Adzenys ER,['Adzenys ER; Adzenys XR ODT; Dyanavel XR ; Evekeo ; Evekeo ODT'],[None],8.0,2,1,Rx,C,2,X,[None],ADHD
dexmethylphenidate / serdexmethylphenidate,['Azstarys'],['8 mg'],7.3,37,1,Rx,,2,,"['heart problems or a congenital heart defect', 'high blood pressure', 'a family history ofheart diseaseor sudden death']",ADHD
Dyanavel XR,['Adzenys ER ; Adzenys XR-ODT ; Dyanavel XR; Evekeo ; Evekeo ODT'],[None],6.7,30,1,Rx,C,2,X,"['chest pain or breathing problems caused by heart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",ADHD
Evekeo ODT,['Adzenys XR-ODT ; Amphetamine Sulfate; Dyanavel XR ; Evekeo ; Evekeo ODT'],[None],,,1,Rx,C,2,X,"['chest pain or breathing problems caused byheart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",ADHD
imipramine,['Tofranil ; Tofranil-PM'],['10 mg'],5.5,5,1,Rx,N,N,X,"['you recently had aheart attack', 'you are allergic to otherantidepressants(amitriptyline, amoxapine,clomipramine, desipramine, doxepin,nortriptyline,protriptyline, ortrimipramine)']",ADHD
viloxazine,['Qelbree'],['200 mg'],5.0,43,1,Rx,,N,,"['alosetron', 'duloxetine', 'ramelteon', 'tasimelteon', 'tizanidine', 'theophylline']",ADHD
Xelstrym,[None],[None],8.7,6,1,Rx,C,2,X,"['moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severeanxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",ADHD
loratadine,['Alavert ; Claritin ; Claritin Reditab; ohm Allergy Relief ; Tavist ND ; Wal-itin'],['10 mg'],4.1,11,75,Rx/OTC,B,N,,"['kidney disease', 'liver disease']",Allergies
hydroxyzine,['ANX; Vistaril ; Atarax ; Vistaril IM; Hyzine ; Vistaject-50; Rezine Drug classes: Antihistamines ; Miscellaneous anxiolytics; sedatives and hypnotics'],['25 mg'],7.4,62,70,Rx,N,N,X,"['you have long QT syndrome', 'you are allergic to cetirizine (Zyrtec) or levocetirizine (Xyzal)']",Allergies
levocetirizine,['Xyzal ; Levrix'],['5 mg'],4.8,216,62,Rx/OTC,B,N,X,"['kidney disease', 'liver disease', 'urination problems (caused by conditions such asenlarged prostateor spinal cord lesion)', 'gallbladder problems']",Allergies
Xyzal,[None],['5 mg'],4.6,182,44,Rx,B,N,X,"['kidney disease', 'liver disease', 'urination problems (caused by conditions such asenlarged prostateor spinal cord lesion)', 'gallbladder problems']",Allergies
cetirizine,['Zyrtec'],['10 mg'],7.3,3,22,Rx/OTC,B,N,X,"['fast, pounding, or uneven heartbeat', 'weakness, tremors (uncontrolled shaking), or sleep problems (insomnia)', 'severe restless feeling, hyperactivity', 'confusion', 'problems with vision', 'urinating less than usual or not at all']",Allergies
Zyrtec,[None],['10 mg'],7.3,3,18,Rx/OTC,B,N,X,"['recently used alcohol, sedatives, or tranquilizers', 'liver or kidney disease']",Allergies
montelukast,['Singulair'],['10 mg'],,,12,Rx,B,N,,"['mental illness or psychosis', 'asthma, or a history of severe allergic reaction (sneezing, runny or stuffy nose, wheezing, shortness of breath) after takingaspirinor another NSAID']",Allergies
Vistaril,[None],['25 mg'],6.7,3,10,Rx,N,N,X,"['you have long QT syndrome', 'you are allergic to cetirizine (Zyrtec) or levocetirizine (Xyzal)', 'you are in the first trimester of pregnancy']",Allergies
fluticasone,"[""Childrens Flonase; Flonase Allergy Relief ; Flonase Sensimist ; Good Sense Allergy Relief (Fluticasone); Good Sense Children's Allergy Relief;""]",[None],,,9,Rx/OTC,C,N,,"['sores or ulcers inside your nose', 'injury of or surgery on your nose', 'glaucomaor cataracts', 'liver disease', 'diabetes', 'a weak immune system', 'any type of infection (bacterial, fungal, viral, or parasitic)']",Allergies
doxylamine,['Unisom; Nytol Maximum Strength; Aldex AN'],['25 mg'],,,8,Rx/OTC,B,N,X,"['glaucoma', 'anenlarged prostate', 'problems with urination', 'asthma,bronchitis,emphysema, or other chronic lung disease']",Allergies
corticotropin,['Acthar Gel; H.P.; Acthar ; Acthar Gel; H.P.;'],[None],1.0,1,7,Rx,C,N,,"['a fungal infection anywhere in your body', 'herpes infection of the eyes', 'untreated or uncontrolled high blood pressure', 'scleroderma', 'osteoporosis', ""adrenal insufficiency (Addison's disease)"", 'a past or present stomach ulce', 'congestive heart failure', 'if you are allergic to pork proteins', 'if you have recently had surgery', 'if you are scheduled to receive a vaccine']",Allergies
fexofenadine,['Allegra 12 Hour Allergy; Allegra 24 Hour Allergy; Allegra Allergy ; Allegra OTC; Aller-Ease ;'],['180 mg'],,,7,Rx/OTC,C,N,,['kidney disease'],Allergies
Allegra,['Allegra; Allegra ODT'],['180 mg'],,,6,Rx/OTC,C,N,,"['Keep the tablet in its blister pack until you are ready to take the medicine Open the package and peel back the foil from the tablet blister Do not push a tablet through the foil or you may damage the tablet', 'Using dry hands, remove the tablet and place it in your mouth It will begin to dissolve right away', 'Do not swallow the tablet whole Allow it to dissolve in your mouth without chewing', 'Swallow several times as the tablet dissolves If desired, you may drink liquid to help swallow the dissolved tablet']",Allergies
prednisone,['Rayos ; Sterapred ; Deltasone'],['20 mg'],9.0,1,6,Rx,C,N,,"['any illness that causes diarrhea', 'liver disease (such as cirrhosis)', 'kidney disease', 'heart disease, high blood pressure, low levels of potassium in your blood', 'a thyroid disorde', 'diabetes', 'a history of malaria', 'tuberculosis', 'osteoporosis', 'glaucoma, cataracts, or herpes infection of the eyes', 'stomach ulcers, ulcerative colitis, or a history of stomach bleeding', 'a muscle disorder such as myasthenia gravis', 'depression or mental illness']",Allergies
Acthar,[None],[None],1.0,1,5,Rx,C,N,,[None],Allergies
Benadryl,[None],['25 mg'],,,5,Rx/OTC,B,N,X,"['blockage in your digestive tract (stomach or intestines)', 'bladder obstruction or other urination problems', 'a colostomy or ileostomy', 'liver or kidney disease', 'asthma, chronic obstructive pulmonary disease (COPD), or other breathing disorde', 'cough with mucus, or cough caused by smoking, emphysema, or chronic bronchitis', 'heart disease, low blood pressure', 'glaucoma', 'a thyroid disorde', 'if you take potassium (Cytra, Epiklor, K-Lyte, K-Phos, Kaon, Klor-Con, Polycitra, Urocit-K)']",Allergies
chlorpheniramine / ibuprofen / phenylephrine,[None],['4 mg'],,,5,OTC,,N,X,[None],Allergies
Allegra Allergy,['Allegra 12 Hour Allergy; Allegra 24 Hour Allergy; Allegra Allergy; Allegra OTC; Aller-Ease ;'],['180 mg'],,,3,OTC,C,N,,['kidney disease'],Allergies
