drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
Salonpas Pain Patch,['Arthricare Cream ; Boroleum ; Castiva Cooling ; Coats Aloe Analgesic Liniment; Cold and Hot Pain Relief;'],[None],6.8,6,0,Rx/OTC,N,N,,"['Check interactions', 'Compare alternatives', 'Reviews (129)', 'Side effects', 'Drug class: topical rubefacient']",Rheumatoid Arthritis
sarilumab,['Kevzara ; Kevzara Pre-filled Pen'],['150 mg'],6.1,23,0,Rx,,N,,"['an active or chronic infection', 'diabetes', 'HIV or AIDS', 'a weak immune system', 'hepatitis or other liver problems', 'stomach pain, diverticulitis, or stomach or intestinal ulcers', 'cance', 'if you have received or are scheduled to receive any vaccines']",Rheumatoid Arthritis
Satogesic,['Arthricare Cream ; Boroleum ; Castiva Cooling ; Coats Aloe Analgesic Liniment; Cold and Hot Pain Relief;'],[None],,,0,Rx/OTC,N,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Drug class: topical rubefacient', 'En español']",Rheumatoid Arthritis
Satogesic Hot Gel,['Arthricare Cream ; Boroleum ; Castiva Cooling ; Coats Aloe Analgesic Liniment; Cold and Hot Pain Relief;'],[None],,,0,Rx/OTC,N,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Drug class: topical rubefacient', 'En español']",Rheumatoid Arthritis
Satogesic Pad,['Arthricare Cream ; Boroleum ; Castiva Cooling ; Coats Aloe Analgesic Liniment; Cold and Hot Pain Relief;'],[None],,,0,Rx/OTC,N,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Drug class: topical rubefacient', 'En español']",Rheumatoid Arthritis
Simlandi,[None],['40 mg'],,,0,Rx,B,N,,"['tuberculosis(or if anyone in your household has tuberculosis)', 'a chronic infection', 'cance', 'hepatitis B(Simlandi can cause hepatitis B to come back or get worse)', 'diabetes', 'heart failure', 'any numbness or tingling, or a nerve-muscle disorder such asmultiple sclerosisorGuillain-Barre syndrome', 'an allergy to latex rubbe', 'if you are scheduled to have majorsurgery', 'if you have recently received or are scheduled to receive any vaccine']",Rheumatoid Arthritis
tetracycline,['Ala-Tet ; Brodspec ; Panmycin ; Sumycin ; Tetracap ;'],['500 mg'],,,0,Rx,D,N,,"['liver disease', 'kidney disease']",Rheumatoid Arthritis
Therapeutic Pain Relief,['Arthricare Cream ; Boroleum ; Castiva Cooling ; Coats Aloe Analgesic Liniment; Cold and Hot Pain Relief;'],[None],,,0,Rx/OTC,N,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Drug class: topical rubefacient', 'En español']",Rheumatoid Arthritis
Tofidence,[None],[None],,,0,Rx,C,N,,"['are being treated for an infection', 'get a lot of infections or have infections that keep coming back', 'have TB, or have been in close contact with someone with TB', 'have cance', 'have diabetes, HIV, or a weak immune system', 'have diverticulitis, ulcers in your stomach or intestines, or stomach pain', 'have liver disease', 'live or have lived, or have traveled to certain parts of the country (such as the Ohio and Mississippi River valleys and the Southwest) where there is an increased chance for certain kinds of fungal infections', 'have or have had hepatitis B (or if you are a carrier of the virus)', 'have received or are scheduled to receive any vaccines All vaccines should be brought up-to-date before starting Tofidence unless urgent treatment initiation is required  You should not receive live vaccines while you are being administered Tofidence, but you can receive non-live vaccines', 'plan to have surgery or a medical procedure']",Rheumatoid Arthritis
tolmetin,['Tolectin; Tolectin DS ; Tolectin 600'],['400 mg'],9.0,1,0,Rx,C,N,X,"['heart disease,high blood pressure,high cholesterol, diabetes, or if you smoke', 'a history of heart attack, stroke, or blood clot', 'a history of stomach ulcers or bleeding', 'asthma', 'fluid retention', 'liver or kidney disease', 'if you take aspirin to prevent heart attack or stroke']",Rheumatoid Arthritis
trolamine salicylate,['Arthricream ; Asper-Flex ; Mobisyl; Myoflex ; Tru-micin ; Ultracin T'],[None],5.7,8,0,OTC,N,N,,[None],Rheumatoid Arthritis
Tyenne,[None],[None],,,0,Rx,C,N,,[None],Rheumatoid Arthritis
Ximino,['Cleeravue-M; Dynacin ; Minocin ; Minolira ; Myrac ; Solodyn ; Ximino'],[None],,,0,Rx,D,N,,[None],Rheumatoid Arthritis
Xodol,['Verdrocet ; Hycet ; Lorcet ; Xodol; Zamicet'],['300 mg'],,,0,Rx,C,2,X,"['severe asthma or breathing problems', 'a blockage in your stomach or intestines']",Rheumatoid Arthritis
Yuflyma,[None],['40 mg'],,,0,Rx,B,N,,"['tuberculosis(or if anyone in your household has tuberculosis)', 'a chronic infection', 'cance', 'hepatitis B(Yuflyma can cause hepatitis B to come back or get worse)', 'diabetes', 'heart failure', 'any numbness or tingling, or a nerve-muscle disorder such asmultiple sclerosisorGuillain-Barre syndrome', 'an allergy to latex rubbe', 'if you are scheduled to have majorsurgery', 'if you have recently received or are scheduled to receive any vaccine']",Rheumatoid Arthritis
Yusimry,[None],['40 mg'],,,0,Rx,B,N,,"['tuberculosis(or if anyone in your household has tuberculosis)', 'a chronic infection', 'cance', 'hepatitis B(Yusimry can cause hepatitis B to come back or get worse)', 'diabetes', 'heart failure', 'any numbness or tingling, or a nerve-muscle disorder such asmultiple sclerosisorGuillain-Barre syndrome', 'an allergy to latex rubbe', 'if you are scheduled to have majorsurgery', 'if you have recently received or are scheduled to receive any vaccine']",Rheumatoid Arthritis
phentermine,['Adipex-P ; Lomaira Drug classes: Anorexiants ; CNS stimulants'],['5 mg'],8.7,2963,96,Rx,X,4,X,"['a history of heart disease (coronary artery disease, heart rhythm problems, congestiveheart failure, stroke)', 'severe or uncontrolled high blood pressure', 'overactive thyroid', 'glaucoma', 'extreme agitation or nervousness', 'a history of drug abuse', 'if you take other diet pills']",Obesity
