drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
aricept,aricept; aricept odt,5.0,5.0,34.0,80.0,rx,c,n,n,"'a heart rhythm disorde', 'a history of stomach ulcers', 'an enlarged prostate or urination problems', 'liver or kidney disease', 'epilepsy or other seizure disorde', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (copd), or other breathing disorde'",alzheimer's,"heart rhythm disorde , history stomach ulcers , enlarged prostate urination problems , liver kidney disease , epilepsy seizure disorde , trouble swallowing , asthma , chronic obstructive pulmonary disease copd , breathing disorde",alzheimers
donepezil,aricept ; aricept odt,5.0,5.0,77.0,80.0,rx,c,n,n,"'a heart rhythm disorder such as ""sick sinus syndrome"" (slow heartbeats)', 'an enlarged prostate', 'urination problems', 'a seizure disorder such as epilepsy', 'a history of stomach ulcers', 'liver or kidney disease', 'trouble swallowing', 'asthma, chronic obstructive pulmonary disease (copd), or another breathing disorde', 'are pregnant or intending to become pregnant', 'are breastfeeding'",alzheimer's,"heart rhythm disorder sick sinus syndrome slow heartbeats , enlarged prostate , urination problems , seizure disorder epilepsy , history stomach ulcers , liver kidney disease , trouble swallowing , asthma , chronic obstructive pulmonary disease copd , another breathing disorde , pregnant intending become pregnant , breastfeeding",alzheimers
memantine,namenda,10.0,5.0,64.0,80.0,rx,b,n,n,none,alzheimer's,none,alzheimers
namenda,namenda; namenda xr,5.0,5.2,26.0,80.0,rx,b,n,n,"'have or have had seizures or epilepsy', 'have liver disease', 'have kidney disease', 'have problems passing urine', 'have a bladder or kidney infection', 'are pregnant or plan to become pregnant', 'are breastfeeding or plan to breastfeed'",alzheimer's,"seizures epilepsy , liver disease , kidney disease , problems passing urine , bladder kidney infection , pregnant plan become pregnant , breastfeeding plan breastfeed",alzheimers
leqembi,common,200.0,0.0,0.0,31.0,rx,unknown,n,n,none,alzheimer's,none,alzheimers
lecanemab,leqembi,200.0,0.0,0.0,30.0,rx,unknown,n,n,"'check interactions', 'compare alternatives', 'side effects', 'dosage information', 'during pregnancy', 'drug class: miscellaneous central nervous system agents', 'en español'",alzheimer's,"check interactions , compare alternatives , side effects , dosage information , pregnancy , drug class miscellaneous central nervous system agents , en español",alzheimers
exelon,common,3.0,6.7,12.0,24.0,rx,b,n,n,"'an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma,chronic obstructive pulmonary disease(copd), or other breathing disorde'",alzheimer's,"ulcer stomach bleeding , seizure , heart problems , liver kidney disease , urination problems , asthma , chronic obstructive pulmonary diseasecopd , breathing disorde",alzheimers
galantamine,reminyl ; razadyne ; razadyne er,8.0,7.6,15.0,19.0,rx,c,n,n,"'urination problems', 'heart diseaseor a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizures or epilepsy', 'kidney disease', 'liver disease', 'a history of asthma or chronic obstructive pulmonary disease (copd)'",alzheimer's,"urination problems , heart diseaseor heart rhythm disorde , history ofstomach ulceror bleeding , seizures epilepsy , kidney disease , liver disease , history asthma chronic obstructive pulmonary disease copd",alzheimers
namenda xr,namenda ; namenda xr,28.0,3.3,4.0,17.0,rx,b,n,n,"'epilepsyor other seizure disorde', 'liver disease', 'kidney disease', 'urination problems', 'a bladder or kidneyinfection'",alzheimer's,"epilepsyor seizure disorde , liver disease , kidney disease , urination problems , bladder kidneyinfection",alzheimers
rivastigmine,exelon,6.0,6.0,30.0,17.0,rx,b,n,n,"'an ulcer or stomach bleeding', 'a seizure', 'heart problems', 'liver or kidney disease', 'urination problems', 'asthma, chronic obstructive pulmonary disease (copd), or other breathing disorde'",alzheimer's,"ulcer stomach bleeding , seizure , heart problems , liver kidney disease , urination problems , asthma , chronic obstructive pulmonary disease copd , breathing disorde",alzheimers
aricept odt,aricept ; aricept odt,5.0,5.0,2.0,10.0,rx,c,n,n,"'heart problems including fast, slow or uneven heart rate', 'astomach ulceror bleeding', 'urination problems', 'a planned surgery or procedure', 'asthma, chronic obstructive pulmonary disease (copd),sleep apnea, or other breathing disorde', 'seizure orepilepsy', 'trouble swallowing tablets', 'liver or kidney disease'",alzheimer's,"heart problems including fast , slow uneven heart rate , astomach ulceror bleeding , urination problems , planned surgery procedure , asthma , chronic obstructive pulmonary disease copd , sleep apnea , breathing disorde , seizure orepilepsy , trouble swallowing tablets , liver kidney disease",alzheimers
namzaric,common,10.0,8.8,6.0,10.0,rx,c,n,n,"'asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history of seizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease'",alzheimer's,"asthma breathing disorde , heart disease , heart rhythm disorde , history seizures , stomach ulcer , history stomach intestinal bleeding , bladder obstruction urination problems , liver disease , kidney disease",alzheimers
donepezil / memantine,namzaric ; namzaric titration pack,0.0,7.7,7.0,9.0,rx,c,n,n,"'asthma or other breathing disorde', 'heart disease, or heart rhythm disorde', 'a history ofseizures', 'stomach ulcer, or a history of stomach or intestinal bleeding', 'bladder obstruction or other urination problems', 'liver disease', 'kidney disease'",alzheimer's,"asthma breathing disorde , heart disease , heart rhythm disorde , history ofseizures , stomach ulcer , history stomach intestinal bleeding , bladder obstruction urination problems , liver disease , kidney disease",alzheimers
vitamin e,aqua-e; aqua-e concentrate; aquasol e ; aquavite-e; aqueous vitamin e;,0.0,0.0,0.0,8.0,rx/otc,c,n,n,"'bleeding problems', 'an eye disorder calledretinitis pigmentosa', 'avitamin k deficiency', 'diabetes', 'osteoporosis or low bone mineral density', 'heart disease', 'cance', 'a stroke', 'kidney disease'",alzheimer's,"bleeding problems , eye disorder calledretinitis pigmentosa , avitamin k deficiency , diabetes , osteoporosis low bone mineral density , heart disease , cance , stroke , kidney disease",alzheimers
razadyne,razadyne; razadyne er,12.0,0.0,0.0,6.0,rx,c,n,n,"'urination problems', 'heart disease or a heart rhythm disorde', 'a history ofstomach ulceror bleeding', 'seizuresorepilepsy', 'kidney disease', 'liver disease', 'a history ofasthmaorchronic obstructive pulmonary disease(copd)'",alzheimer's,"urination problems , heart disease heart rhythm disorde , history ofstomach ulceror bleeding , seizuresorepilepsy , kidney disease , liver disease , history ofasthmaorchronic obstructive pulmonary diseasecopd",alzheimers
razadyne er,razadyne ; razadyne er; razadyne ir,16.0,10.0,2.0,6.0,rx,c,n,n,none,alzheimer's,none,alzheimers
adlarity,common,5.0,0.0,0.0,5.0,rx,c,n,n,none,alzheimer's,none,alzheimers
etanercept,enbrel,50.0,0.0,0.0,3.0,rx,b,n,n,"'a weak immune system, hiv or aids, tuberculosis, or any type of recurring infection', 'symptoms of an active infection such as fever, flu symptoms, diarrhea, or painful urination', 'an open cut or skin sores', 'diabetes', 'congestive heart failure', 'a history of nerve disorders such as multiple sclerosis, guillain-barré syndrome, myelitis, or optic neuritis', 'epilepsy or other seizure disorde', 'asthma or other breathing disorde', 'if you have ever had hepatitis b', 'if you are allergic to latex rubbe', 'if you are scheduled to receive any vaccines, or if you have recently been vaccinated with bcg (bacille calmette-guerin)'",alzheimer's,"weak immune system , hiv aids , tuberculosis , type recurring infection , symptoms active infection fever , flu symptoms , diarrhea , painful urination , open cut skin sores , diabetes , congestive heart failure , history nerve disorders multiple sclerosis , guillainbarré syndrome , myelitis , optic neuritis , epilepsy seizure disorde , asthma breathing disorde , ever hepatitis b , allergic latex rubbe , scheduled receive vaccines , recently vaccinated bcg bacille calmetteguerin",alzheimers
alpha e,alpha-e; aqua gem-e ; aquasol e ; d-alpha gems; e-400;,0.0,0.0,0.0,2.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
ergoloid mesylates,hydergine ; hydergine lc,1.0,0.0,0.0,2.0,rx,n,n,n,'a history of mental illness or psychosis',alzheimer's,history mental illness psychosis,alzheimers
hydergine,common,0.0,0.0,0.0,2.0,rx,n,n,n,'a history of mental illness or psychosis',alzheimer's,history mental illness psychosis,alzheimers
aducanumab,aduhelm,170.0,0.0,0.0,1.0,rx,unknown,n,n,"'check interactions', 'compare alternatives', 'side effects', 'dosage information', 'during pregnancy', 'drug class: miscellaneous central nervous system agents', 'breastfeeding', 'en español'",alzheimer's,"check interactions , compare alternatives , side effects , dosage information , pregnancy , drug class miscellaneous central nervous system agents , breastfeeding , en español",alzheimers
aqua gem-e,alpha-e; aqua gem-e; aquasol e ; d-alpha gems; e-400;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
aquasol e,alpha-e; aqua gem-e ; aquasol e; d-alpha gems; e-400;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
e-400 clear,alpha-e; aqua gem-e ; aquasol e ; d-alpha gems; e-400;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
e-600,alpha-e; aqua gem-e ; aquasol e ; d-alpha gems; e-400;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
e-gems,alpha-e; aqua gem-e ; aquasol e ; d-alpha gems; e-400;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
e pherol,alph-e; alph-e-mixed; alph-e-mixed 1000; e-400; e-400-clear;,0.0,0.0,0.0,1.0,rx/otc,c,n,n,none,alzheimer's,none,alzheimers
donanemab,kisunla,350.0,0.0,0.0,0.0,rx,unknown,n,n,none,alzheimer's,none,alzheimers
kisunla,common,350.0,0.0,0.0,0.0,rx,unknown,n,n,none,alzheimer's,none,alzheimers
zunveyl,common,0.0,0.0,0.0,0.0,rx,unknown,u,n,none,alzheimer's,none,alzheimers
adderall,adderall; adderall xr ; mydayis,30.0,7.2,405.0,80.0,rx,c,2,x,"'glaucoma', 'overactive thyroid', 'severe anxiety or agitation (stimulant medicine can make these symptoms worse)', 'high blood pressure', 'heart disease or coronary artery disease', 'vascular disease or hardening of the arteries', 'a history of drug or alcohol addiction'",adhd,"glaucoma , overactive thyroid , severe anxiety agitation stimulant medicine make symptoms worse , high blood pressure , heart disease coronary artery disease , vascular disease hardening arteries , history drug alcohol addiction",adhd
vyvanse,common,30.0,7.3,826.0,77.0,rx,c,2,x,"'heart problems or a congenital heart defect', 'high blood pressure', 'a family history of heart disease or sudden death'",adhd,"heart problems congenital heart defect , high blood pressure , family history heart disease sudden death",adhd
strattera,common,40.0,5.3,521.0,58.0,rx,c,n,n,"'severe heart or blood vessel problems', 'narrow-angle glaucoma', 'pheochromocytoma(tumor of the adrenal gland)'",adhd,"severe heart blood vessel problems , narrowangle glaucoma , pheochromocytomatumor adrenal gland",adhd
adderall xr,adderall ; adderall xr; mydayis,30.0,7.9,214.0,52.0,rx,c,2,x,"'an allergy to any stimulant medicine', 'high blood pressure, heart disease, coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"allergy stimulant medicine , high blood pressure , heart disease , coronary artery disease hardened arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
concerta,common,36.0,6.8,400.0,40.0,rx,c,2,x,"'glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) ortourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)'",adhd,"glaucoma , severe high blood pressure heart problem , overactive thyroid , personal family history tics muscle twitches ortourettes syndrome , severeanxiety , tension , oragitationstimulant medicine make symptoms worse",adhd
methylphenidate,adhansia xr ; aptensio xr ; concerta ; cotempla xr-odt ; jornay pm ;,36.0,7.0,895.0,35.0,rx,c,2,x,"'glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) ortourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)'",adhd,"glaucoma , severe high blood pressure heart problem , overactive thyroid , personal family history tics muscle twitches ortourettes syndrome , severeanxiety , tension , oragitationstimulant medicine make symptoms worse",adhd
amphetamine / dextroamphetamine,adderall ; adderall xr ; mydayis ; dextroamphetamine-amphetamine er (eqv-mydayis); dextroamphetamine-amphetamine er (eqv-adderall xr),30.0,6.7,977.0,25.0,rx,c,2,x,"'an allergy to any stimulant medicine', 'high blood pressure, heart disease, coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"allergy stimulant medicine , high blood pressure , heart disease , coronary artery disease hardened arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
dexedrine,dexedrine spansule; procentra ; xelstrym ; zenzedi,5.0,8.6,99.0,25.0,rx,c,2,x,"'moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severe high blood pressure , heart problems coronary artery disease clogged arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
ritalin,ritalin tablets; ritalin la capsules,10.0,6.9,177.0,23.0,rx,c,2,x,"'glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) or tourette's syndrome"", 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)'",adhd,"glaucoma , severe high blood pressure heart problem , overactive thyroid , personal family history tics muscle twitches tourettes syndrome , severe anxiety , tension , agitation stimulant medicine make symptoms worse",adhd
dextroamphetamine,dexedrine spansule; procentra ; xelstrym ; zenzedi ; dexedrine ; dextrostat ; liquadd,10.0,8.3,220.0,19.0,rx,c,2,x,"'moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severe high blood pressure , heart problems coronary artery disease clogged arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
bupropion,wellbutrin ; wellbutrin sr ; wellbutrin xl ; zyban ; aplenzin ; budeprion xl ; forfivo xl drug classes: miscellaneous antidepressants ; smoking cessation agents,150.0,6.4,144.0,16.0,rx,c,n,x,"'a seizure disorde', 'an eating disorder such as anorexia or bulimia', 'if you have suddenly stopped using alcohol, seizure medication, or a sedative (such as xanax, valium, fiorinal, klonopin, and others)'",adhd,"seizure disorde , eating disorder anorexia bulimia , suddenly stopped using alcohol , seizure medication , sedative xanax , valium , fiorinal , klonopin , others",adhd
clonidine,catapres ; kapvay ; onyda xr,1.0,7.6,64.0,16.0,rx,c,n,x,"'heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a catapres tts transdermal skin patch'",adhd,"heart disease severecoronary artery disease , heart rhythm disorder , slow heartbeats , high orlow blood pressure , history fainting spells , aheart attackor stroke , pheochromocytomatumor adrenal gland , kidney disease , ever allergic reaction catapres tts transdermal skin patch",adhd
desoxyn,desoxyn; desoxyn drug classes: anorexiants ; cns stimulants,5.0,9.4,42.0,15.0,rx,c,2,x,"'moderate to severehigh blood pressure', 'heart diseaseorcoronary artery disease(hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severehigh blood pressure , heart diseaseorcoronary artery diseasehardened arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
guanfacine,intuniv ; tenex,1.0,5.9,274.0,14.0,rx,b,n,x,"'heart problems,coronary artery disease(clogged arteries)', 'a heart rhythm disorde', 'aheart attackor stroke', 'high or low blood pressure', 'liver disease', 'kidney disease'",adhd,"heart problems , coronary artery diseaseclogged arteries , heart rhythm disorde , aheart attackor stroke , high low blood pressure , liver disease , kidney disease",adhd
intuniv,common,1.0,6.4,162.0,13.0,rx,b,n,x,"'heart problems,coronary artery disease(clogged arteries)', 'a heart rhythm disorde', 'aheart attackor stroke', 'high orlow blood pressure', 'liver disease', 'kidney disease'",adhd,"heart problems , coronary artery diseaseclogged arteries , heart rhythm disorde , aheart attackor stroke , high orlow blood pressure , liver disease , kidney disease",adhd
atomoxetine,strattera,40.0,5.2,615.0,11.0,rx,c,n,n,"'severe heart or blood vessel problems', 'narrow-angle glaucoma', 'pheochromocytoma(tumor of the adrenal gland)'",adhd,"severe heart blood vessel problems , narrowangle glaucoma , pheochromocytomatumor adrenal gland",adhd
lisdexamfetamine,vyvanse,40.0,7.3,870.0,11.0,rx,c,2,x,none,adhd,none,adhd
focalin,focalin; focalin xr,10.0,5.7,137.0,10.0,rx,c,2,n,"'heart problems or a congenital heart defect', 'high blood pressure', 'a family history of heart disease or sudden death'",adhd,"heart problems congenital heart defect , high blood pressure , family history heart disease sudden death",adhd
daytrana,daytrana,0.0,8.3,74.0,9.0,rx,c,2,x,"'glaucoma', 'tics (muscle twitches)', ""a personal or family history oftourette's syndrome"", 'severeanxiety, tension, oragitation', 'if you have ever had a skin reaction to a daytrana skin patch'",adhd,"glaucoma , tics muscle twitches , personal family history oftourettes syndrome , severeanxiety , tension , oragitation , ever skin reaction daytrana skin patch",adhd
focalin xr,focalin ; focalin xr,20.0,6.8,110.0,8.0,rx,c,2,n,"'heart problems or a congenital heart defect', 'high blood pressure', 'a family history ofheart diseaseor sudden death'",adhd,"heart problems congenital heart defect , high blood pressure , family history ofheart diseaseor sudden death",adhd
amphetamine,adzenys er ; adzenys xr-odt ; dyanavel xr ; evekeo ; evekeo odt ; amphetamine sulfate,10.0,6.4,134.0,7.0,rx,c,2,x,"'chest pain or breathing problems caused by heart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated'",adhd,"chest pain breathing problems caused heart disease , hardening arteries , moderate severehigh blood pressure , overactive thyroid , history drug abuse , agitated",adhd
ritalin la,aptensio xr ; concerta ; cotempla xr-odt ; jornay pm ; methylin ;,30.0,8.1,18.0,7.0,rx,c,2,x,"'glaucoma', ""a personal or family history of tics (muscle twitches) ortourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an mao inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine'",adhd,"glaucoma , personal family history tics muscle twitches ortourettes syndrome , trouble swallowing , problems stomach , intestines , severe anxiety , tension , agitation stimulant medicine make symptoms worse , inability digest certain types suga , used mao inhibitor past 14 days , asisocarboxazid , linezolid , methylene blueinjection , phenelzine , ortranylcypromine",adhd
amantadine,gocovri ; osmolex er ; symmetrel drug classes: adamantane antivirals ; dopaminergic antiparkinsonism agents,100.0,7.2,10.0,6.0,rx,c,n,n,"'you have severe kidney disease', 'you received a ""live"" nasal flu vaccine (flumist) within the past 14 days'",adhd,"severe kidney disease , received live nasal flu vaccine flumist within past 14 days",adhd
dexmethylphenidate,focalin ; focalin xr,20.0,6.2,286.0,6.0,rx,c,2,n,"'heart problems or a congenital heart defect', 'high blood pressure', 'a family history ofheart diseaseor sudden death'",adhd,"heart problems congenital heart defect , high blood pressure , family history ofheart diseaseor sudden death",adhd
kapvay,common,1.0,7.4,18.0,6.0,rx,c,n,x,"'heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a clonidine transdermal skin patch (catapres tts)'",adhd,"heart disease severecoronary artery disease , heart rhythm disorder , slow heartbeats , high orlow blood pressure , history fainting spells , aheart attackor stroke , pheochromocytomatumor adrenal gland , kidney disease , ever allergic reaction clonidine transdermal skin patch catapres tts",adhd
methamphetamine,desoxyn ; desoxyn gradumet drug classes: anorexiants ; cns stimulants,5.0,8.9,63.0,6.0,rx,c,2,x,"'moderate to severe high blood pressure', 'heart disease or coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severe high blood pressure , heart disease coronary artery disease hardened arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
methylin,aptensio xr ; concerta ; cotempla xr-odt ; jornay pm ; methylin;,20.0,8.2,14.0,6.0,rx,c,2,x,"'glaucoma', ""a personal or family history of tics (muscle twitches) ortourette's syndrome"", 'trouble swallowing, problems with the stomach, or intestines', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'an inability to digest certain types of suga', 'if you have used an mao inhibitor in the past 14 days, such asisocarboxazid, linezolid,methylene blueinjection, phenelzine, ortranylcypromine'",adhd,"glaucoma , personal family history tics muscle twitches ortourettes syndrome , trouble swallowing , problems stomach , intestines , severe anxiety , tension , agitation stimulant medicine make symptoms worse , inability digest certain types suga , used mao inhibitor past 14 days , asisocarboxazid , linezolid , methylene blueinjection , phenelzine , ortranylcypromine",adhd
modafinil,provigil,200.0,7.6,50.0,5.0,rx,c,4,n,"'angina (chest pain)', 'cirrhosis or other liver problem', 'kidney disease', 'high blood pressure,heart disease, or history ofheart attack', 'a history of mental illness or psychosis', 'history ofalcoholismordrug addiction'",adhd,"angina chest pain , cirrhosis liver problem , kidney disease , high blood pressure , heart disease , history ofheart attack , history mental illness psychosis , history ofalcoholismordrug addiction",adhd
quillivant xr,common,0.0,5.6,23.0,5.0,rx,c,2,x,"'glaucoma', ""a personal or family history of tics (muscle twitches) ortourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)'",adhd,"glaucoma , personal family history tics muscle twitches ortourettes syndrome , severeanxiety , tension , oragitationstimulant medicine make symptoms worse",adhd
jornay pm,common,60.0,9.5,15.0,4.0,rx,c,2,x,none,adhd,none,adhd
metadate cd,common,10.0,7.1,41.0,4.0,rx,c,2,x,none,adhd,none,adhd
methylin er,aptensio xr ; concerta ; cotempla xr-odt ; jornay pm ; metadate er ;,10.0,8.5,8.0,4.0,rx,c,2,x,none,adhd,none,adhd
procentra,dexedrine spansule; procentra; xelstrym ; zenzedi,0.0,9.5,2.0,4.0,rx,c,2,x,"'moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severe high blood pressure , heart problems coronary artery disease clogged arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
selegiline,zelapar,5.0,10.0,3.0,4.0,rx,c,n,x,"'cough medicine that containsdextromethorphan', 'cyclobenzaprine(flexeril)', 'meperidine (demerol) or other narcotic (opioid) pain medicine', 'methadone', ""st john's wort"", 'tramadol (ultram, ultracet)', 'an antidepressant--citalopram,desvenlafaxine, duloxetine,escitalopram, fluvoxamine,levomilnacipran, milnacipran, mirtazapine, nefazodone, paroxetine, venlafaxine, vilazodone,vortioxetine, and others', 'an mao inhibitor--isocarboxazid, linezolid,methylene blueinjection, phenelzine, rasagiline, selegiline,tranylcypromine, and others'",adhd,"cough medicine containsdextromethorphan , cyclobenzaprineflexeril , meperidine demerol narcotic opioid pain medicine , methadone , st johns wort , tramadol ultram , ultracet , antidepressantcitalopram , desvenlafaxine , duloxetine , escitalopram , fluvoxamine , levomilnacipran , milnacipran , mirtazapine , nefazodone , paroxetine , venlafaxine , vilazodone , vortioxetine , others , mao inhibitorisocarboxazid , linezolid , methylene blueinjection , phenelzine , rasagiline , selegiline , tranylcypromine , others",adhd
zenzedi,dexedrine spansule; procentra ; xelstrym ; zenzedi,20.0,8.2,31.0,4.0,rx,c,2,x,"'moderate to severe high blood pressure, heart problems or coronary artery disease (clogged arteries)', 'overactive thyroid, glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction'",adhd,"moderate severe high blood pressure , heart problems coronary artery disease clogged arteries , overactive thyroid , glaucoma , severe anxiety , tension , agitation stimulant medicine make symptoms worse , history drug alcohol addiction",adhd
armodafinil,nuvigil,200.0,8.2,25.0,3.0,rx,c,4,n,"'liver or kidney disease', 'a heart muscle or valve disorder such asmitral valve prolapse', 'high blood pressure,heart disease, or priorheart attack', 'mental illness orpsychosis', 'drug or alcohol addiction'",adhd,"liver kidney disease , heart muscle valve disorder asmitral valve prolapse , high blood pressure , heart disease , priorheart attack , mental illness orpsychosis , drug alcohol addiction",adhd
azstarys,common,8.0,7.3,37.0,3.0,rx,unknown,2,n,none,adhd,none,adhd
desvenlafaxine,pristiq ; khedezla,50.0,7.1,9.0,3.0,rx,c,n,x,"'heart disease,high blood pressure,high cholesterol, or a stroke', 'bipolar disorder(manic depression)', 'depression, suicidal thoughts', 'liver or kidney disease', 'glaucoma', 'seizures or epilepsy', 'sexual problems', 'lung or breathing problems', 'a bleeding or blood clotting disorde', 'low levels of sodium in your blood'",adhd,"heart disease , high blood pressure , high cholesterol , stroke , bipolar disordermanic depression , depression , suicidal thoughts , liver kidney disease , glaucoma , seizures epilepsy , sexual problems , lung breathing problems , bleeding blood clotting disorde , low levels sodium blood",adhd
omega-3 polyunsaturated fatty acids,animi-3 with vitamin d ; bp vit 3; cardio omega benefits ; dry eye omega benefits ; epa fish oil ;,0.0,8.2,9.0,3.0,rx/otc,c,n,n,"'diabetes', 'bleeding problems, anemia (low red blood cells)', 'a heart rhythm disorde', 'a pancreas disorde', 'underactive thyroid', 'liver disease'",adhd,"diabetes , bleeding problems , anemia low red blood cells , heart rhythm disorde , pancreas disorde , underactive thyroid , liver disease",adhd
onyda xr,common,0.0,0.0,0.0,3.0,rx,c,n,x,"'heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a catapres tts transdermal skin patch'",adhd,"heart disease severecoronary artery disease , heart rhythm disorder , slow heartbeats , high orlow blood pressure , history fainting spells , aheart attackor stroke , pheochromocytomatumor adrenal gland , kidney disease , ever allergic reaction catapres tts transdermal skin patch",adhd
adzenys xr-odt,adzenys xr-odt; amphetamine sulfate; dyanavel xr ; evekeo ; evekeo odt,8.0,6.1,63.0,2.0,rx,c,2,x,"'chest pain or breathing problems caused byheart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated'",adhd,"chest pain breathing problems caused byheart disease , hardening arteries , moderate severehigh blood pressure , overactive thyroid , history drug abuse , agitated",adhd
