drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
risperidone,risperdal,1.0,6.1,181.0,13.0,rx,c,n,x,"'heart disease,high blood pressure, heart rhythm problems, stroke orheart attack', 'diabetes (or risk factors such asobesityor family history of diabetes)', 'low white blood cell (wbc) counts', 'liver or kidney disease', 'seizures', 'breast cance', 'low bone mineral density', 'trouble swallowing', ""parkinson's disease"", 'if you are dehydrated'",bipolar disorder,"heart disease , high blood pressure , heart rhythm problems , stroke orheart attack , diabetes risk factors asobesityor family history diabetes , low white blood cell wbc counts , liver kidney disease , seizures , breast cance , low bone mineral density , trouble swallowing , parkinsons disease , dehydrated",bipolar disorder
olanzapine,zyprexa ; zyprexa zydis; zyprexa intramuscular ; zyprexa relprevv,10.0,6.4,317.0,12.0,rx,c,n,x,none,bipolar disorder,none,bipolar disorder
depakote er,depakote ; depakote er; depakote sprinkles,500.0,7.4,49.0,11.0,rx,d,n,x,"'liver disease', 'a urea cycle disorde', ""a genetic mitochondrial (mye-toe-kon-dree-al) disorder such as alpers' disease or alpers-huttenlocher syndrome, especially in a child younger than 2 years old""",bipolar disorder,"liver disease , urea cycle disorde , genetic mitochondrial myetoekondreeal disorder alpers disease alpershuttenlocher syndrome , especially child younger 2 years old",bipolar disorder
venlafaxine,effexor xr ; effexor,75.0,6.7,77.0,11.0,rx,c,n,x,"'bipolar disorder(manic depression)', 'heart disease,high blood pressure,high cholesterolor triglycerides', 'diabetes', 'lung disease', 'glaucoma', 'a thyroid disorde', 'a seizure', 'sexual problems', 'bleeding problems', 'low blood levels of sodium', 'liver or kidney disease'",bipolar disorder,"bipolar disordermanic depression , heart disease , high blood pressure , high cholesterolor triglycerides , diabetes , lung disease , glaucoma , thyroid disorde , seizure , sexual problems , bleeding problems , low blood levels sodium , liver kidney disease",bipolar disorder
duloxetine,cymbalta ; drizalma sprinkle ; irenka,30.0,6.9,50.0,10.0,rx,c,n,x,"'heart problems,high blood pressure', 'liver or kidney disease', 'slow digestion', 'a seizure', 'bleeding problems', 'sexual problems', 'narrow-angleglaucoma', 'bipolar disorder(manic depression)', 'drug addictionor suicidal thoughts', 'if you drink large amounts of alcohol'",bipolar disorder,"heart problems , high blood pressure , liver kidney disease , slow digestion , seizure , bleeding problems , sexual problems , narrowangleglaucoma , bipolar disordermanic depression , drug addictionor suicidal thoughts , drink large amounts alcohol",bipolar disorder
saphris,common,10.0,7.3,228.0,10.0,rx,c,n,x,'severe liver disease',bipolar disorder,severe liver disease,bipolar disorder
citalopram,celexa,20.0,8.5,14.0,9.0,rx,c,n,x,"'heart problems,high blood pressure,long qt syndrome', 'astroke', 'bleeding problems', 'sexual problems', 'narrow-angleglaucoma', 'seizuresorepilepsy', 'bipolar disorder(manic depression) in you or a family membe', 'an electrolyte imbalance (such as low levels of potassium, magnesium, or sodium in your blood)', 'liver or kidney disease'",bipolar disorder,"heart problems , high blood pressure , long qt syndrome , astroke , bleeding problems , sexual problems , narrowangleglaucoma , seizuresorepilepsy , bipolar disordermanic depression family membe , electrolyte imbalance low levels potassium , magnesium , sodium blood , liver kidney disease",bipolar disorder
escitalopram,lexapro,10.0,6.5,61.0,9.0,rx,c,n,x,'you also take pimozide',bipolar disorder,also take pimozide,bipolar disorder
carbamazepine,epitol ; equetro ; tegretol ; tegretol xr,200.0,7.0,109.0,8.0,rx,d,n,x,"'heart problems', 'liver or kidney disease', 'glaucoma', 'porphyria', 'low sodium levels', 'depression,mood disorde', 'suicidal thoughts or actions'",bipolar disorder,"heart problems , liver kidney disease , glaucoma , porphyria , low sodium levels , depression , mood disorde , suicidal thoughts actions",bipolar disorder
ziprasidone,geodon,20.0,5.7,298.0,7.0,rx,c,n,x,"'a heart rhythm disorde', 'long qt syndrome (in you or a family member)', 'uncontrolled or untreated heart failure', 'if you have recently had a heart attack'",bipolar disorder,"heart rhythm disorde , long qt syndrome family member , uncontrolled untreated heart failure , recently heart attack",bipolar disorder
clonidine,catapres ; kapvay ; onyda xr,1.0,8.1,9.0,5.0,rx,c,n,x,"'heart disease or severecoronary artery disease', 'a heart rhythm disorder, slow heartbeats', 'high orlow blood pressure, or a history of fainting spells', 'aheart attackor stroke', 'pheochromocytoma(tumor of the adrenal gland)', 'kidney disease', 'if you have ever had an allergic reaction to a catapres tts transdermal skin patch'",bipolar disorder,"heart disease severecoronary artery disease , heart rhythm disorder , slow heartbeats , high orlow blood pressure , history fainting spells , aheart attackor stroke , pheochromocytomatumor adrenal gland , kidney disease , ever allergic reaction catapres tts transdermal skin patch",bipolar disorder
